X: -5, Y: 0, Z: -13.5, r: 1.0, g:1.0, b: 0.0, 
X: -4.9, Y: 0, Z: -12.6202, r: 1.0, g:1.0, b: 0.0, 
X: -4.8, Y: 0, Z: -11.7705, r: 1.0, g:1.0, b: 0.0, 
X: -4.7, Y: 0, Z: -10.9504, r: 1.0, g:1.0, b: 0.0, 
X: -4.6, Y: 0, Z: -10.1595, r: 1.0, g:1.0, b: 0.0, 
X: -4.5, Y: 0, Z: -9.39722, r: 1.0, g:1.0, b: 0.0, 
X: -4.4, Y: 0, Z: -8.6632, r: 1.0, g:1.0, b: 0.0, 
X: -4.3, Y: 0, Z: -7.95693, r: 1.0, g:1.0, b: 0.0, 
X: -4.2, Y: 0, Z: -7.27796, r: 1.0, g:1.0, b: 0.0, 
X: -4.1, Y: 0, Z: -6.6258, r: 1.0, g:1.0, b: 0.0, 
X: -4, Y: 0, Z: -6, r: 1.0, g:1.0, b: 0.0, 
X: -3.9, Y: 0, Z: -5.40009, r: 1.0, g:1.0, b: 0.0, 
X: -3.8, Y: 0, Z: -4.8256, r: 1.0, g:1.0, b: 0.0, 
X: -3.7, Y: 0, Z: -4.27607, r: 1.0, g:1.0, b: 0.0, 
X: -3.6, Y: 0, Z: -3.75102, r: 1.0, g:1.0, b: 0.0, 
X: -3.5, Y: 0, Z: -3.25, r: 1.0, g:1.0, b: 0.0, 
X: -3.4, Y: 0, Z: -2.77254, r: 1.0, g:1.0, b: 0.0, 
X: -3.3, Y: 0, Z: -2.31816, r: 1.0, g:1.0, b: 0.0, 
X: -3.2, Y: 0, Z: -1.8864, r: 1.0, g:1.0, b: 0.0, 
X: -3.1, Y: 0, Z: -1.4768, r: 1.0, g:1.0, b: 0.0, 
X: -3, Y: 0, Z: -1.08889, r: 1.0, g:1.0, b: 0.0, 
X: -2.9, Y: 0, Z: -0.722203, r: 1.0, g:1.0, b: 0.0, 
X: -2.8, Y: 0, Z: -0.37627, r: 1.0, g:1.0, b: 0.0, 
X: -2.7, Y: 0, Z: -0.0506251, r: 1.0, g:1.0, b: 0.0, 
X: -2.6, Y: 0, Z: 0.255197, r: 1.0, g:1.0, b: 0.0, 
X: -2.5, Y: 0, Z: 0.541664, r: 1.0, g:1.0, b: 0.0, 
X: -2.4, Y: 0, Z: 0.809242, r: 1.0, g:1.0, b: 0.0, 
X: -2.3, Y: 0, Z: 1.0584, r: 1.0, g:1.0, b: 0.0, 
X: -2.2, Y: 0, Z: 1.2896, r: 1.0, g:1.0, b: 0.0, 
X: -2.1, Y: 0, Z: 1.50331, r: 1.0, g:1.0, b: 0.0, 
X: -2, Y: 0, Z: 1.7, r: 1.0, g:1.0, b: 0.0, 
X: -1.9, Y: 0, Z: 1.88013, r: 1.0, g:1.0, b: 0.0, 
X: -1.8, Y: 0, Z: 2.04418, r: 1.0, g:1.0, b: 0.0, 
X: -1.7, Y: 0, Z: 2.1926, r: 1.0, g:1.0, b: 0.0, 
X: -1.6, Y: 0, Z: 2.32587, r: 1.0, g:1.0, b: 0.0, 
X: -1.5, Y: 0, Z: 2.44444, r: 1.0, g:1.0, b: 0.0, 
X: -1.4, Y: 0, Z: 2.5488, r: 1.0, g:1.0, b: 0.0, 
X: -1.3, Y: 0, Z: 2.6394, r: 1.0, g:1.0, b: 0.0, 
X: -1.2, Y: 0, Z: 2.71671, r: 1.0, g:1.0, b: 0.0, 
X: -1.1, Y: 0, Z: 2.7812, r: 1.0, g:1.0, b: 0.0, 
X: -1, Y: 0, Z: 2.83333, r: 1.0, g:1.0, b: 0.0, 
X: -0.900003, Y: 0, Z: 2.87358, r: 1.0, g:1.0, b: 0.0, 
X: -0.800003, Y: 0, Z: 2.9024, r: 1.0, g:1.0, b: 0.0, 
X: -0.700003, Y: 0, Z: 2.92027, r: 1.0, g:1.0, b: 0.0, 
X: -0.600003, Y: 0, Z: 2.92765, r: 1.0, g:1.0, b: 0.0, 
X: -0.500003, Y: 0, Z: 2.925, r: 1.0, g:1.0, b: 0.0, 
X: -0.400003, Y: 0, Z: 2.9128, r: 1.0, g:1.0, b: 0.0, 
X: -0.300003, Y: 0, Z: 2.89151, r: 1.0, g:1.0, b: 0.0, 
X: -0.200003, Y: 0, Z: 2.8616, r: 1.0, g:1.0, b: 0.0, 
X: -0.100003, Y: 0, Z: 2.82354, r: 1.0, g:1.0, b: 0.0, 
X: -2.51979e-06, Y: 0, Z: 2.77778, r: 1.0, g:1.0, b: 0.0, 
X: 0.0999975, Y: 0, Z: 2.7248, r: 1.0, g:1.0, b: 0.0, 
X: 0.199997, Y: 0, Z: 2.66507, r: 1.0, g:1.0, b: 0.0, 
X: 0.299997, Y: 0, Z: 2.59905, r: 1.0, g:1.0, b: 0.0, 
X: 0.399997, Y: 0, Z: 2.5272, r: 1.0, g:1.0, b: 0.0, 
X: 0.499997, Y: 0, Z: 2.45, r: 1.0, g:1.0, b: 0.0, 
X: 0.599997, Y: 0, Z: 2.36792, r: 1.0, g:1.0, b: 0.0, 
X: 0.699997, Y: 0, Z: 2.2814, r: 1.0, g:1.0, b: 0.0, 
X: 0.799998, Y: 0, Z: 2.19094, r: 1.0, g:1.0, b: 0.0, 
X: 0.899998, Y: 0, Z: 2.09698, r: 1.0, g:1.0, b: 0.0, 
X: 0.999998, Y: 0, Z: 2, r: 1.0, g:1.0, b: 0.0, 
X: 1.1, Y: 0, Z: 1.90047, r: 1.0, g:1.0, b: 0.0, 
X: 1.2, Y: 0, Z: 1.79885, r: 1.0, g:1.0, b: 0.0, 
X: 1.3, Y: 0, Z: 1.6956, r: 1.0, g:1.0, b: 0.0, 
X: 1.4, Y: 0, Z: 1.5912, r: 1.0, g:1.0, b: 0.0, 
X: 1.5, Y: 0, Z: 1.48612, r: 1.0, g:1.0, b: 0.0, 
X: 1.6, Y: 0, Z: 1.3808, r: 1.0, g:1.0, b: 0.0, 
X: 1.7, Y: 0, Z: 1.27574, r: 1.0, g:1.0, b: 0.0, 
