Antall datapunkter: 10201
X: -5.000, Y: -5.000, Z: 50.000, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -4.900, Z: 49.010, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -4.800, Z: 48.040, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -4.700, Z: 47.090, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -4.600, Z: 46.160, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -4.500, Z: 45.250, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -4.400, Z: 44.360, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -4.300, Z: 43.490, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -4.200, Z: 42.640, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -4.100, Z: 41.810, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -4.000, Z: 41.000, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -3.900, Z: 40.210, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -3.800, Z: 39.440, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -3.700, Z: 38.690, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -3.600, Z: 37.960, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -3.500, Z: 37.250, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -3.400, Z: 36.560, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -3.300, Z: 35.890, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -3.200, Z: 35.240, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -3.100, Z: 34.610, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -3.000, Z: 34.000, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -2.900, Z: 33.410, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -2.800, Z: 32.840, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -2.700, Z: 32.290, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -2.600, Z: 31.760, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -2.500, Z: 31.250, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -2.400, Z: 30.760, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -2.300, Z: 30.290, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -2.200, Z: 29.840, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -2.100, Z: 29.410, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -2.000, Z: 29.000, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -1.900, Z: 28.610, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -1.800, Z: 28.240, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -1.700, Z: 27.890, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -1.600, Z: 27.560, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -1.500, Z: 27.250, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -1.400, Z: 26.960, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -1.300, Z: 26.690, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -1.200, Z: 26.440, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -1.100, Z: 26.210, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -1.000, Z: 26.000, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -0.900, Z: 25.810, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -0.800, Z: 25.640, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -0.700, Z: 25.490, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -0.600, Z: 25.360, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -0.500, Z: 25.250, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -0.400, Z: 25.160, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -0.300, Z: 25.090, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -0.200, Z: 25.040, r: 1.000, g: 0.000, b: 0.000
X: -5.000, Y: -0.100, Z: 25.010, r: 1.000, g: 0.000, b: 0.000
